SampleID	Stages	Gender
HSB98_CBC_NA [gene-level]	6	f
HSB98_DFC_L [gene-level]	6	f
HSB98_DFC_R [gene-level]	6	f
HSB98_HIP_L [gene-level]	6	f
HSB98_HIP_R [gene-level]	6	f
HSB98_IPC_L [gene-level]	6	f
HSB98_IPC_R [gene-level]	6	f
HSB98_MD_L [gene-level]	6	f
HSB98_MD_R [gene-level]	6	f
HSB98_MFC_L [gene-level]	6	f
HSB98_MFC_R [gene-level]	6	f
HSB98_MSC_L [gene-level]	6	f
HSB98_MSC_R [gene-level]	6	f
HSB98_STC_L [gene-level]	6	f
HSB98_STC_R [gene-level]	6	f
HSB98_STR_L [gene-level]	6	f
HSB98_STR_R [gene-level]	6	f
HSB98_V1C_L [gene-level]	6	f
HSB98_V1C_R [gene-level]	6	f
HSB98_VFC_L [gene-level]	6	f
HSB98_VFC_R [gene-level]	6	f
HSB99_A1C_L [gene-level]	6	f
HSB99_A1C_R [gene-level]	6	f
HSB99_CBC_NA [gene-level]	6	f
HSB99_DFC_L [gene-level]	6	f
HSB99_DFC_R [gene-level]	6	f
HSB99_HIP_L [gene-level]	6	f
HSB99_HIP_R [gene-level]	6	f
HSB99_IPC_L [gene-level]	6	f
HSB99_IPC_R [gene-level]	6	f
HSB99_MD_L [gene-level]	6	f
HSB99_MD_R [gene-level]	6	f
HSB99_MFC_L [gene-level]	6	f
HSB99_MFC_R [gene-level]	6	f
HSB99_MSC_L [gene-level]	6	f
HSB99_MSC_R [gene-level]	6	f
HSB99_STC_L [gene-level]	6	f
HSB99_STC_R [gene-level]	6	f
HSB99_STR_L [gene-level]	6	f
HSB99_STR_R [gene-level]	6	f
HSB99_V1C_L [gene-level]	6	f
HSB99_V1C_R [gene-level]	6	f
HSB99_VFC_L [gene-level]	6	f
HSB99_VFC_R [gene-level]	6	f
HSB100_A1C_L [gene-level]	6	f
HSB100_A1C_R [gene-level]	6	f
HSB100_AMY_L [gene-level]	6	f
HSB100_AMY_R [gene-level]	6	f
HSB100_CBC_L [gene-level]	6	f
HSB100_CBC_R [gene-level]	6	f
HSB100_DFC_L [gene-level]	6	f
HSB100_DFC_R [gene-level]	6	f
HSB100_HIP_L [gene-level]	6	f
HSB100_HIP_R [gene-level]	6	f
HSB100_IPC_L [gene-level]	6	f
HSB100_IPC_R [gene-level]	6	f
HSB100_ITC_L [gene-level]	6	f
HSB100_ITC_R [gene-level]	6	f
HSB100_M1C_L [gene-level]	6	f
HSB100_M1C_R [gene-level]	6	f
HSB100_MD_L [gene-level]	6	f
HSB100_MD_R [gene-level]	6	f
HSB100_MFC_L [gene-level]	6	f
HSB100_MFC_R [gene-level]	6	f
HSB100_OFC_L [gene-level]	6	f
HSB100_OFC_R [gene-level]	6	f
HSB100_S1C_L [gene-level]	6	f
HSB100_S1C_R [gene-level]	6	f
HSB100_STC_L [gene-level]	6	f
HSB100_STC_R [gene-level]	6	f
HSB100_STR_L [gene-level]	6	f
HSB100_STR_R [gene-level]	6	f
HSB100_V1C_L [gene-level]	6	f
HSB100_V1C_R [gene-level]	6	f
HSB100_VFC_L [gene-level]	6	f
HSB100_VFC_R [gene-level]	6	f
HSB102_A1C_L [gene-level]	6	f
HSB102_A1C_R [gene-level]	6	f
HSB102_AMY_L [gene-level]	6	f
HSB102_AMY_R [gene-level]	6	f
HSB102_CBC_L [gene-level]	6	f
HSB102_CBC_R [gene-level]	6	f
HSB102_DFC_L [gene-level]	6	f
HSB102_DFC_R [gene-level]	6	f
HSB102_HIP_L [gene-level]	6	f
HSB102_HIP_R [gene-level]	6	f
HSB102_IPC_L [gene-level]	6	f
HSB102_IPC_R [gene-level]	6	f
HSB102_ITC_L [gene-level]	6	f
HSB102_ITC_R [gene-level]	6	f
HSB102_M1C_L [gene-level]	6	f
HSB102_M1C_R [gene-level]	6	f
HSB102_MD_L [gene-level]	6	f
HSB102_MD_R [gene-level]	6	f
HSB102_MFC_L [gene-level]	6	f
HSB102_MFC_R [gene-level]	6	f
HSB102_OFC_L [gene-level]	6	f
HSB102_OFC_R [gene-level]	6	f
HSB102_S1C_L [gene-level]	6	f
HSB102_S1C_R [gene-level]	6	f
HSB102_STC_L [gene-level]	6	f
HSB102_STC_R [gene-level]	6	f
HSB102_STR_L [gene-level]	6	f
HSB102_STR_R [gene-level]	6	f
HSB102_V1C_L [gene-level]	6	f
HSB102_V1C_R [gene-level]	6	f
HSB102_VFC_L [gene-level]	6	f
HSB102_VFC_R [gene-level]	6	f
HSB103_A1C_L [gene-level]	4	m
HSB103_A1C_R [gene-level]	4	m
HSB103_AMY_L [gene-level]	4	m
HSB103_AMY_R [gene-level]	4	m
HSB103_CBC_L [gene-level]	4	m
HSB103_CBC_R [gene-level]	4	m
HSB103_DFC_L [gene-level]	4	m
HSB103_DFC_R [gene-level]	4	m
HSB103_HIP_L [gene-level]	4	m
HSB103_HIP_R [gene-level]	4	m
HSB103_IPC_L [gene-level]	4	m
HSB103_IPC_R [gene-level]	4	m
HSB103_ITC_L [gene-level]	4	m
HSB103_ITC_R [gene-level]	4	m
HSB103_M1C_L [gene-level]	4	m
HSB103_M1C_R [gene-level]	4	m
HSB103_MFC_L [gene-level]	4	m
HSB103_MFC_R [gene-level]	4	m
HSB103_OFC_L [gene-level]	4	m
HSB103_OFC_R [gene-level]	4	m
HSB103_S1C_L [gene-level]	4	m
HSB103_S1C_R [gene-level]	4	m
HSB103_STC_L [gene-level]	4	m
HSB103_STC_R [gene-level]	4	m
HSB103_STR_L [gene-level]	4	m
HSB103_STR_R [gene-level]	4	m
HSB103_V1C_L [gene-level]	4	m
HSB103_V1C_R [gene-level]	4	m
HSB103_VFC_L [gene-level]	4	m
HSB103_VFC_R [gene-level]	4	m
HSB104_DIE_LR [gene-level]	1	m
HSB104_FC_LR [gene-level]	1	m
HSB104_HIP_LR [gene-level]	1	m
HSB104_OC_LR [gene-level]	1	m
HSB104_PC_LR [gene-level]	1	m
HSB104_TC_LR [gene-level]	1	m
HSB104_URL_LR [gene-level]	1	m
HSB104_VF_LR [gene-level]	1	m
HSB105_A1C_L [gene-level]	12	m
HSB105_A1C_R [gene-level]	12	m
HSB105_AMY_R [gene-level]	12	m
HSB105_CBC_L [gene-level]	12	m
HSB105_DFC_L [gene-level]	12	m
HSB105_DFC_R [gene-level]	12	m
HSB105_HIP_L [gene-level]	12	m
HSB105_HIP_R [gene-level]	12	m
HSB105_IPC_L [gene-level]	12	m
HSB105_IPC_R [gene-level]	12	m
HSB105_ITC_L [gene-level]	12	m
HSB105_ITC_R [gene-level]	12	m
HSB105_M1C_L [gene-level]	12	m
HSB105_M1C_R [gene-level]	12	m
HSB105_MFC_L [gene-level]	12	m
HSB105_MFC_R [gene-level]	12	m
HSB105_OFC_L [gene-level]	12	m
HSB105_OFC_R [gene-level]	12	m
HSB105_S1C_L [gene-level]	12	m
HSB105_S1C_R [gene-level]	12	m
HSB105_STC_L [gene-level]	12	m
HSB105_STC_R [gene-level]	12	m
HSB105_V1C_L [gene-level]	12	m
HSB105_V1C_R [gene-level]	12	m
HSB105_VFC_L [gene-level]	12	m
HSB105_VFC_R [gene-level]	12	m
HSB106_A1C_L [gene-level]	15	m
HSB106_A1C_R [gene-level]	15	m
HSB106_AMY_L [gene-level]	15	m
HSB106_AMY_R [gene-level]	15	m
HSB106_CBC_L [gene-level]	15	m
HSB106_CBC_R [gene-level]	15	m
HSB106_DFC_L [gene-level]	15	m
HSB106_DFC_R [gene-level]	15	m
HSB106_HIP_L [gene-level]	15	m
HSB106_HIP_R [gene-level]	15	m
HSB106_IPC_L [gene-level]	15	m
HSB106_IPC_R [gene-level]	15	m
HSB106_ITC_L [gene-level]	15	m
HSB106_ITC_R [gene-level]	15	m
HSB106_M1C_L [gene-level]	15	m
HSB106_M1C_R [gene-level]	15	m
HSB106_MD_L [gene-level]	15	m
HSB106_MD_R [gene-level]	15	m
HSB106_MFC_L [gene-level]	15	m
HSB106_MFC_R [gene-level]	15	m
HSB106_OFC_L [gene-level]	15	m
HSB106_OFC_R [gene-level]	15	m
HSB106_S1C_L [gene-level]	15	m
HSB106_S1C_R [gene-level]	15	m
HSB106_STC_L [gene-level]	15	m
HSB106_STC_R [gene-level]	15	m
HSB106_STR_L [gene-level]	15	m
HSB106_STR_R [gene-level]	15	m
HSB106_V1C_L [gene-level]	15	m
HSB106_V1C_R [gene-level]	15	m
HSB106_VFC_L [gene-level]	15	m
HSB106_VFC_R [gene-level]	15	m
HSB107_A1C_L [gene-level]	6	f
HSB107_A1C_R [gene-level]	6	f
HSB107_AMY_L [gene-level]	6	f
HSB107_AMY_R [gene-level]	6	f
HSB107_CBC_L [gene-level]	6	f
HSB107_CBC_R [gene-level]	6	f
HSB107_DFC_L [gene-level]	6	f
HSB107_DFC_R [gene-level]	6	f
HSB107_HIP_L [gene-level]	6	f
HSB107_HIP_R [gene-level]	6	f
HSB107_IPC_L [gene-level]	6	f
HSB107_IPC_R [gene-level]	6	f
HSB107_ITC_L [gene-level]	6	f
HSB107_ITC_R [gene-level]	6	f
HSB107_M1C_L [gene-level]	6	f
HSB107_M1C_R [gene-level]	6	f
HSB107_MD_L [gene-level]	6	f
HSB107_MD_R [gene-level]	6	f
HSB107_MFC_L [gene-level]	6	f
HSB107_MFC_R [gene-level]	6	f
HSB107_OFC_L [gene-level]	6	f
HSB107_OFC_R [gene-level]	6	f
HSB107_S1C_L [gene-level]	6	f
HSB107_S1C_R [gene-level]	6	f
HSB107_STC_L [gene-level]	6	f
HSB107_STC_R [gene-level]	6	f
HSB107_STR_L [gene-level]	6	f
HSB107_STR_R [gene-level]	6	f
HSB107_V1C_L [gene-level]	6	f
HSB107_V1C_R [gene-level]	6	f
HSB107_VFC_L [gene-level]	6	f
HSB107_VFC_R [gene-level]	6	f
HSB111_A1C_L [gene-level]	15	f
HSB111_A1C_R [gene-level]	15	f
HSB111_AMY_L [gene-level]	15	f
HSB111_AMY_R [gene-level]	15	f
HSB111_CBC_R [gene-level]	15	f
HSB111_DFC_L [gene-level]	15	f
HSB111_DFC_R [gene-level]	15	f
HSB111_HIP_L [gene-level]	15	f
HSB111_HIP_R [gene-level]	15	f
HSB111_IPC_L [gene-level]	15	f
HSB111_IPC_R [gene-level]	15	f
HSB111_ITC_L [gene-level]	15	f
HSB111_ITC_R [gene-level]	15	f
HSB111_M1C_L [gene-level]	15	f
HSB111_M1C_R [gene-level]	15	f
HSB111_MD_L [gene-level]	15	f
HSB111_MD_R [gene-level]	15	f
HSB111_MFC_L [gene-level]	15	f
HSB111_MFC_R [gene-level]	15	f
HSB111_OFC_L [gene-level]	15	f
HSB111_OFC_R [gene-level]	15	f
HSB111_S1C_L [gene-level]	15	f
HSB111_S1C_R [gene-level]	15	f
HSB111_STC_L [gene-level]	15	f
HSB111_STC_R [gene-level]	15	f
HSB111_STR_L [gene-level]	15	f
HSB111_STR_R [gene-level]	15	f
HSB111_V1C_L [gene-level]	15	f
HSB111_V1C_R [gene-level]	15	f
HSB111_VFC_L [gene-level]	15	f
HSB111_VFC_R [gene-level]	15	f
HSB112_AMY_L [gene-level]	2	m
HSB112_AMY_R [gene-level]	2	m
HSB112_CGE_L [gene-level]	2	m
HSB112_CGE_R [gene-level]	2	m
HSB112_DFC_L [gene-level]	2	m
HSB112_DFC_R [gene-level]	2	m
HSB112_DTH_L [gene-level]	2	m
HSB112_DTH_R [gene-level]	2	m
HSB112_HIP_L [gene-level]	2	m
HSB112_HIP_R [gene-level]	2	m
HSB112_ITC_L [gene-level]	2	m
HSB112_ITC_R [gene-level]	2	m
HSB112_LGE_L [gene-level]	2	m
HSB112_LGE_R [gene-level]	2	m
HSB112_MFC_L [gene-level]	2	m
HSB112_MFC_R [gene-level]	2	m
HSB112_MGE_L [gene-level]	2	m
HSB112_MGE_R [gene-level]	2	m
HSB112_MSC_L [gene-level]	2	m
HSB112_MSC_R [gene-level]	2	m
HSB112_OC_L [gene-level]	2	m
HSB112_OC_R [gene-level]	2	m
HSB112_OFC_L [gene-level]	2	m
HSB112_OFC_R [gene-level]	2	m
HSB112_PC_L [gene-level]	2	m
HSB112_PC_R [gene-level]	2	m
HSB112_STC_L [gene-level]	2	m
HSB112_STC_R [gene-level]	2	m
HSB112_URL_L [gene-level]	2	m
HSB112_URL_R [gene-level]	2	m
HSB112_VFC_L [gene-level]	2	m
HSB112_VFC_R [gene-level]	2	m
HSB113_A1C_L [gene-level]	3	f
HSB113_A1C_R [gene-level]	3	f
HSB113_AMY_L [gene-level]	3	f
HSB113_AMY_R [gene-level]	3	f
HSB113_CBC_L [gene-level]	3	f
HSB113_CBC_R [gene-level]	3	f
HSB113_DFC_L [gene-level]	3	f
HSB113_DFC_R [gene-level]	3	f
HSB113_HIP_L [gene-level]	3	f
HSB113_HIP_R [gene-level]	3	f
HSB113_IPC_L [gene-level]	3	f
HSB113_IPC_R [gene-level]	3	f
HSB113_ITC_L [gene-level]	3	f
HSB113_ITC_R [gene-level]	3	f
HSB113_M1C_L [gene-level]	3	f
HSB113_M1C_R [gene-level]	3	f
HSB113_MD_L [gene-level]	3	f
HSB113_MD_R [gene-level]	3	f
HSB113_MFC_L [gene-level]	3	f
HSB113_MFC_R [gene-level]	3	f
HSB113_OFC_L [gene-level]	3	f
HSB113_OFC_R [gene-level]	3	f
HSB113_S1C_L [gene-level]	3	f
HSB113_S1C_R [gene-level]	3	f
HSB113_STC_L [gene-level]	3	f
HSB113_STC_R [gene-level]	3	f
HSB113_STR_L [gene-level]	3	f
HSB113_STR_R [gene-level]	3	f
HSB113_V1C_L [gene-level]	3	f
HSB113_V1C_R [gene-level]	3	f
HSB113_VFC_L [gene-level]	3	f
HSB113_VFC_R [gene-level]	3	f
HSB114_A1C_L [gene-level]	4	m
HSB114_A1C_R [gene-level]	4	m
HSB114_AMY_L [gene-level]	4	m
HSB114_AMY_R [gene-level]	4	m
HSB114_DFC_L [gene-level]	4	m
HSB114_DFC_R [gene-level]	4	m
HSB114_HIP_L [gene-level]	4	m
HSB114_IPC_L [gene-level]	4	m
HSB114_IPC_R [gene-level]	4	m
HSB114_ITC_L [gene-level]	4	m
HSB114_ITC_R [gene-level]	4	m
HSB114_M1C_L [gene-level]	4	m
HSB114_M1C_R [gene-level]	4	m
HSB114_MFC_L [gene-level]	4	m
HSB114_MFC_R [gene-level]	4	m
HSB114_OFC_L [gene-level]	4	m
HSB114_OFC_R [gene-level]	4	m
HSB114_S1C_L [gene-level]	4	m
HSB114_S1C_R [gene-level]	4	m
HSB114_STC_L [gene-level]	4	m
HSB114_STC_R [gene-level]	4	m
HSB114_STR_L [gene-level]	4	m
HSB114_STR_R [gene-level]	4	m
HSB114_V1C_R [gene-level]	4	m
HSB114_VFC_L [gene-level]	4	m
HSB114_VFC_R [gene-level]	4	m
HSB118_A1C_R [gene-level]	10	m
HSB118_AMY_R [gene-level]	10	m
HSB118_CBC_R [gene-level]	10	m
HSB118_DFC_R [gene-level]	10	m
HSB118_HIP_R [gene-level]	10	m
HSB118_IPC_R [gene-level]	10	m
HSB118_ITC_R [gene-level]	10	m
HSB118_M1C_R [gene-level]	10	m
HSB118_MD_R [gene-level]	10	m
HSB118_MFC_R [gene-level]	10	m
HSB118_S1C_R [gene-level]	10	m
HSB118_STC_R [gene-level]	10	m
HSB118_STR_R [gene-level]	10	m
HSB118_V1C_R [gene-level]	10	m
HSB118_VFC_R [gene-level]	10	m
HSB119_A1C_L [gene-level]	12	m
HSB119_AMY_L [gene-level]	12	m
HSB119_CBC_L [gene-level]	12	m
HSB119_DFC_L [gene-level]	12	m
HSB119_IPC_L [gene-level]	12	m
HSB119_ITC_L [gene-level]	12	m
HSB119_M1C_L [gene-level]	12	m
HSB119_MD_L [gene-level]	12	m
HSB119_MFC_L [gene-level]	12	m
HSB119_OFC_L [gene-level]	12	m
HSB119_S1C_L [gene-level]	12	m
HSB119_STC_L [gene-level]	12	m
HSB119_STR_L [gene-level]	12	m
HSB119_V1C_L [gene-level]	12	m
HSB119_VFC_L [gene-level]	12	m
HSB121_A1C_L [gene-level]	8	m
HSB121_A1C_R [gene-level]	8	m
HSB121_AMY_L [gene-level]	8	m
HSB121_AMY_R [gene-level]	8	m
HSB121_CBC_L [gene-level]	8	m
HSB121_CBC_R [gene-level]	8	m
HSB121_DFC_L [gene-level]	8	m
HSB121_DFC_R [gene-level]	8	m
HSB121_HIP_L [gene-level]	8	m
HSB121_HIP_R [gene-level]	8	m
HSB121_IPC_L [gene-level]	8	m
HSB121_IPC_R [gene-level]	8	m
HSB121_ITC_L [gene-level]	8	m
HSB121_ITC_R [gene-level]	8	m
HSB121_M1C_L [gene-level]	8	m
HSB121_M1C_R [gene-level]	8	m
HSB121_MD_L [gene-level]	8	m
HSB121_MD_R [gene-level]	8	m
HSB121_MFC_L [gene-level]	8	m
HSB121_MFC_R [gene-level]	8	m
HSB121_OFC_L [gene-level]	8	m
HSB121_OFC_R [gene-level]	8	m
HSB121_S1C_L [gene-level]	8	m
HSB121_S1C_R [gene-level]	8	m
HSB121_STC_L [gene-level]	8	m
HSB121_STC_R [gene-level]	8	m
HSB121_STR_L [gene-level]	8	m
HSB121_STR_R [gene-level]	8	m
HSB121_V1C_L [gene-level]	8	m
HSB121_V1C_R [gene-level]	8	m
HSB121_VFC_L [gene-level]	8	m
HSB121_VFC_R [gene-level]	8	m
HSB122_A1C_L [gene-level]	9	f
HSB122_A1C_R [gene-level]	9	f
HSB122_AMY_L [gene-level]	9	f
HSB122_AMY_R [gene-level]	9	f
HSB122_CBC_L [gene-level]	9	f
HSB122_CBC_R [gene-level]	9	f
HSB122_DFC_L [gene-level]	9	f
HSB122_DFC_R [gene-level]	9	f
HSB122_HIP_L [gene-level]	9	f
HSB122_HIP_R [gene-level]	9	f
HSB122_IPC_L [gene-level]	9	f
HSB122_IPC_R [gene-level]	9	f
HSB122_ITC_L [gene-level]	9	f
HSB122_ITC_R [gene-level]	9	f
HSB122_M1C_L [gene-level]	9	f
HSB122_M1C_R [gene-level]	9	f
HSB122_MD_L [gene-level]	9	f
HSB122_MD_R [gene-level]	9	f
HSB122_MFC_L [gene-level]	9	f
HSB122_MFC_R [gene-level]	9	f
HSB122_OFC_L [gene-level]	9	f
HSB122_OFC_R [gene-level]	9	f
HSB122_S1C_L [gene-level]	9	f
HSB122_S1C_R [gene-level]	9	f
HSB122_STC_L [gene-level]	9	f
HSB122_STC_R [gene-level]	9	f
HSB122_STR_L [gene-level]	9	f
HSB122_STR_R [gene-level]	9	f
HSB122_V1C_L [gene-level]	9	f
HSB122_V1C_R [gene-level]	9	f
HSB122_VFC_L [gene-level]	9	f
HSB122_VFC_R [gene-level]	9	f
HSB123_A1C_L [gene-level]	13	m
HSB123_A1C_R [gene-level]	13	m
HSB123_AMY_L [gene-level]	13	m
HSB123_AMY_R [gene-level]	13	m
HSB123_CBC_L [gene-level]	13	m
HSB123_DFC_L [gene-level]	13	m
HSB123_DFC_R [gene-level]	13	m
HSB123_HIP_L [gene-level]	13	m
HSB123_HIP_R [gene-level]	13	m
HSB123_IPC_L [gene-level]	13	m
HSB123_IPC_R [gene-level]	13	m
HSB123_ITC_L [gene-level]	13	m
HSB123_ITC_R [gene-level]	13	m
HSB123_M1C_L [gene-level]	13	m
HSB123_M1C_R [gene-level]	13	m
HSB123_MD_L [gene-level]	13	m
HSB123_MD_R [gene-level]	13	m
HSB123_MFC_L [gene-level]	13	m
HSB123_MFC_R [gene-level]	13	m
HSB123_OFC_L [gene-level]	13	m
HSB123_OFC_R [gene-level]	13	m
HSB123_S1C_L [gene-level]	13	m
HSB123_S1C_R [gene-level]	13	m
HSB123_STC_L [gene-level]	13	m
HSB123_STC_R [gene-level]	13	m
HSB123_STR_L [gene-level]	13	m
HSB123_STR_R [gene-level]	13	m
HSB123_V1C_L [gene-level]	13	m
HSB123_V1C_R [gene-level]	13	m
HSB123_VFC_L [gene-level]	13	m
HSB123_VFC_R [gene-level]	13	m
HSB124_A1C_L [gene-level]	12	f
HSB124_A1C_R [gene-level]	12	f
HSB124_AMY_R [gene-level]	12	f
HSB124_CBC_L [gene-level]	12	f
HSB124_CBC_R [gene-level]	12	f
HSB124_DFC_L [gene-level]	12	f
HSB124_DFC_R [gene-level]	12	f
HSB124_HIP_L [gene-level]	12	f
HSB124_HIP_R [gene-level]	12	f
HSB124_IPC_L [gene-level]	12	f
HSB124_IPC_R [gene-level]	12	f
HSB124_ITC_L [gene-level]	12	f
HSB124_ITC_R [gene-level]	12	f
HSB124_M1C_L [gene-level]	12	f
HSB124_M1C_R [gene-level]	12	f
HSB124_MD_L [gene-level]	12	f
HSB124_MD_R [gene-level]	12	f
HSB124_MFC_L [gene-level]	12	f
HSB124_MFC_R [gene-level]	12	f
HSB124_OFC_L [gene-level]	12	f
HSB124_OFC_R [gene-level]	12	f
HSB124_S1C_L [gene-level]	12	f
HSB124_S1C_R [gene-level]	12	f
HSB124_STC_L [gene-level]	12	f
HSB124_STC_R [gene-level]	12	f
HSB124_STR_L [gene-level]	12	f
HSB124_STR_R [gene-level]	12	f
HSB124_V1C_R [gene-level]	12	f
HSB124_VFC_L [gene-level]	12	f
HSB124_VFC_R [gene-level]	12	f
HSB125_A1C_L [gene-level]	13	m
HSB125_A1C_R [gene-level]	13	m
HSB125_MD_L [gene-level]	13	m
HSB125_MFC_L [gene-level]	13	m
HSB125_MFC_R [gene-level]	13	m
HSB125_OFC_L [gene-level]	13	m
HSB125_OFC_R [gene-level]	13	m
HSB126_A1C_R [gene-level]	13	f
HSB126_AMY_R [gene-level]	13	f
HSB126_CBC_L [gene-level]	13	f
HSB126_CBC_R [gene-level]	13	f
HSB126_DFC_L [gene-level]	13	f
HSB126_DFC_R [gene-level]	13	f
HSB126_HIP_R [gene-level]	13	f
HSB126_IPC_L [gene-level]	13	f
HSB126_IPC_R [gene-level]	13	f
HSB126_ITC_L [gene-level]	13	f
HSB126_ITC_R [gene-level]	13	f
HSB126_M1C_L [gene-level]	13	f
HSB126_M1C_R [gene-level]	13	f
HSB126_MD_L [gene-level]	13	f
HSB126_MD_R [gene-level]	13	f
HSB126_MFC_L [gene-level]	13	f
HSB126_MFC_R [gene-level]	13	f
HSB126_OFC_L [gene-level]	13	f
HSB126_OFC_R [gene-level]	13	f
HSB126_S1C_L [gene-level]	13	f
HSB126_S1C_R [gene-level]	13	f
HSB126_STC_L [gene-level]	13	f
HSB126_STC_R [gene-level]	13	f
HSB126_STR_L [gene-level]	13	f
HSB126_STR_R [gene-level]	13	f
HSB126_V1C_L [gene-level]	13	f
HSB126_V1C_R [gene-level]	13	f
HSB126_VFC_L [gene-level]	13	f
HSB126_VFC_R [gene-level]	13	f
HSB127_A1C_L [gene-level]	12	f
HSB127_AMY_R [gene-level]	12	f
HSB127_CBC_L [gene-level]	12	f
HSB127_DFC_L [gene-level]	12	f
HSB127_HIP_R [gene-level]	12	f
HSB127_IPC_L [gene-level]	12	f
HSB127_ITC_L [gene-level]	12	f
HSB127_M1C_L [gene-level]	12	f
HSB127_MD_L [gene-level]	12	f
HSB127_MFC_L [gene-level]	12	f
HSB127_OFC_L [gene-level]	12	f
HSB127_S1C_L [gene-level]	12	f
HSB127_STC_L [gene-level]	12	f
HSB127_STR_L [gene-level]	12	f
HSB127_V1C_L [gene-level]	12	f
HSB127_VFC_L [gene-level]	12	f
HSB130_A1C_L [gene-level]	13	f
HSB130_AMY_L [gene-level]	13	f
HSB130_CBC_L [gene-level]	13	f
HSB130_DFC_L [gene-level]	13	f
HSB130_HIP_L [gene-level]	13	f
HSB130_IPC_L [gene-level]	13	f
HSB130_ITC_L [gene-level]	13	f
HSB130_M1C_L [gene-level]	13	f
HSB130_MD_L [gene-level]	13	f
HSB130_MFC_L [gene-level]	13	f
HSB130_OFC_L [gene-level]	13	f
HSB130_S1C_L [gene-level]	13	f
HSB130_STC_L [gene-level]	13	f
HSB130_STR_L [gene-level]	13	f
HSB130_V1C_L [gene-level]	13	f
HSB130_VFC_L [gene-level]	13	f
HSB131_A1C_L [gene-level]	9	f
HSB131_AMY_L [gene-level]	9	f
HSB131_CBC_L [gene-level]	9	f
HSB131_DFC_L [gene-level]	9	f
HSB131_HIP_L [gene-level]	9	f
HSB131_IPC_L [gene-level]	9	f
HSB131_ITC_L [gene-level]	9	f
HSB131_M1C_L [gene-level]	9	f
HSB131_MD_L [gene-level]	9	f
HSB131_MFC_L [gene-level]	9	f
HSB131_OFC_L [gene-level]	9	f
HSB131_S1C_L [gene-level]	9	f
HSB131_STC_L [gene-level]	9	f
HSB131_STR_L [gene-level]	9	f
HSB131_V1C_L [gene-level]	9	f
HSB131_VFC_L [gene-level]	9	f
HSB132_A1C_L [gene-level]	8	m
HSB132_A1C_R [gene-level]	8	m
HSB132_AMY_L [gene-level]	8	m
HSB132_AMY_R [gene-level]	8	m
HSB132_CBC_L [gene-level]	8	m
HSB132_CBC_R [gene-level]	8	m
